Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
d1099e14450efe720a6b5844b64c63b6,0.001652,0.0038538,0.4287,0.002,0.003,0.86409,0.001,,,,,,
610a48e1e2e6635df613b88712801f10,0.001518,0.005668,0.2678,0.000,0.003,0.86597,0.072,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,0.0015108,0.0052273,0.289,0.000,0.003,0.86784,0.398,,,,,,
8aca4a6dbf73163d249df1b1a6d544b8,0.0014952,0.006604,0.2264,0.003,0.000,0.86969,0.011,,,,,,
baa4ef1d1a13fc40f49ed5be9bae17f2,0.0014739,0.0025087,0.5875,0.003,0.001,0.87151,0.038,,,,,,
a3e4812b21dfb4d85852ff5dc5984d90,0.0014084,0.0038076,0.3699,0.000,0.003,0.87325,0.009,,,,,,
5e4f944bf86157726cb89b516d622ffd,0.001399,0.0016644,0.8406,0.003,0.001,0.87498,0.001,,,,,,
20e9727d584ae9365eb8336c8e8475e2,0.0013907,0.0045823,0.3035,0.001,0.002,0.8767,0.559,,,,,,
cf1d17620411b1db17bdf391848911d5,0.0013757,0.0047898,0.2872,0.003,0.000,0.8784,0.247,,,,,,
9692070a8435f3da9d103743c63ce52d,0.0013411,0.00759,0.1767,0.000,0.003,0.88006,1,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,0.0013289,0.0010666,1.2459,0.003,0.001,0.8817,0.003,,,,,,
c7637722f3cdc682ed9f613e67e886fa,0.0012541,0.0066964,0.1873,0.000,0.002,0.88325,1,,,,,,
e14d3ef27526af3bd88f42d83f3bdd6b,0.0012534,0.0037804,0.3316,0.000,0.002,0.8848,0.029,,,,,,
7989777e7b4a4a1a5e64e05489f0da27,0.0012391,0.0022541,0.5497,0.001,0.001,0.88634,0.203,,,,,,
a7a147ba43fb5888f6b2452b85ca8569,0.0012365,0.0015671,0.7891,0.002,0.001,0.88786,0.893,,,,,,
5706949b5f1a8ddea1d85d40559db204,0.00123,0.0035261,0.3488,0.002,0.001,0.88939,0.277,,,,,,
bde1bc5d378347f4858e3c03b4ddd5c7,0.0011447,0.0020886,0.5481,0.002,0.000,0.8908,0.001,,,,,,
1b926b7a41ac4a734571c261084ad062,0.0011431,0.0043616,0.2621,0.000,0.002,0.89221,0.355,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,0.00112,0.001557,0.7193,0.002,0.001,0.8936,0.001,,,,,,
79f458b5176b6d4795e229c416de7a95,0.0010848,0.0055479,0.1955,0.000,0.002,0.89494,0.533,,,,,,
c7f1fab952f2d359d3dbc6dd35bf3da2,0.0010347,0.005839,0.1772,0.000,0.002,0.89622,0.476,,,,,,
e0ebea8fc0446d4854b48dd95db67e21,0.0010249,0.003504,0.2925,0.002,0.000,0.89749,0.262,,,,,,
062daff76602f04235c2d39d58315162,0.0010237,0.0006765,1.5132,0.003,0.001,0.89875,0.001,,,,,,
e5837770ce17fb8c618b6009803d1be2,0.0009957,0.0056272,0.1769,0.000,0.002,0.89998,1,,,,,,
4fdfa62fd97e871b7cc284a180983816,0.0009915,0.003647,0.2719,0.000,0.002,0.90121,0.62,,,,,,
e965315323c00eac43896c84313b6d2b,0.0009815,0.0055549,0.1767,0.000,0.002,0.90242,1,,,,,,
02c9292683676d5a105454964336f5c5,0.0009701,0.0026089,0.3719,0.001,0.001,0.90362,0.155,,,,,,
2db9c9272d03c08353ad07d1789f8901,0.0009697,0.0048708,0.1991,0.000,0.002,0.90482,0.175,,,,,,
61e3a05af55019d8d29ea8ddbfee780d,0.0009395,0.0010786,0.871,0.002,0.001,0.90598,0.054,,,,,,
01dcc5a0537b0887e3610980878207a4,0.000934,0.0040165,0.2325,0.000,0.002,0.90714,0.019,,,,,,
5392c3fca1fb9f48913cc25f30ee1e3e,0.0009189,0.0052004,0.1767,0.000,0.002,0.90827,1,,,,,,
,,,,,,,,,,,,,
b78a0754100e227efd07a3246121fd94,***,,,,,,,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,***,,,,,,,,,,,,
f68daaca652da726aaabf841a3a3a4ba,***,,,,,,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,.,,,,,,,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,***,,,,,,,,,,,,
74f8324925049e692ded7c8f8131a7de,**,,,,,,,,,,,,
5c2b47983d92cc3cc09bc005906b2212,***,,,,,,,,,,,,
cb493cf3102179d939b8a47f700a786f,*,,,,,,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,***,,,,,,,,,,,,
91d688c973fa105eac82ae34536569bc,***,,,,,,,,,,,,
460704bd2880b6e0c87caa2070b20097,***,,,,,,,,,,,,
c2556d10d86d2961efe7110b18d380c7,***,,,,,,,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,,,,,,,,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,,,,,,,,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,,,,,,,,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,***,,,,,,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,*,,,,,,,,,,,,
dc83596d4d0bd0e144aead7a53486fcd,*,,,,,,,,,,,,
e65fd9bdecd6971a6df6257338244e89,***,,,,,,,,,,,,
e36bdf6700966998f0c6929b13db80ab,*,,,,,,,,,,,,
6731bc05c8ba7ada6bf032d14af05613,***,,,,,,,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,.,,,,,,,,,,,,
787a3df59922afc90301151ea01b7c7b,*,,,,,,,,,,,,
664a5696761c2beb24c9a1644748c2f6,,,,,,,,,,,,,
5a5cd60c401650043551c33f344c8522,***,,,,,,,,,,,,
3b617940a8ae4d46db58d0a83793f0e8,,,,,,,,,,,,,
522fccaf4e20abef717533bd224bd68d,,,,,,,,,,,,,
6cc87325b7815ff69cb113006fa5dfd5,**,,,,,,,,,,,,
f427cc77a3175ac760d5b1556b65ba17,**,,,,,,,,,,,,
c39e740778882bfb46217540ed1dcc86,,,,,,,,,,,,,
2e6b346f121a96cb91ce439380bbeafc,.,,,,,,,,,,,,
e6e36c7acbdc33af814292da08b44b99,**,,,,,,,,,,,,
b95192f739d4edba244aa50a65ad657d,**,,,,,,,,,,,,
230cf8978871a250f5f7ae8a91aadf94,,,,,,,,,,,,,
fe81b53d077a7fa4f3813377bd51caf4,**,,,,,,,,,,,,
fa73781222ed3d0cecfdd7d5a9c64c50,,,,,,,,,,,,,
9f961d0b7eadbbc47c9e1fc80a391778,,,,,,,,,,,,,
bc17a57fdb7451088e326bb258fe96cd,,,,,,,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,**,,,,,,,,,,,,
305fad7794af19b61bd043d53cde28ec,**,,,,,,,,,,,,
03aeed40e95531cde1ff374146f1a068,,,,,,,,,,,,,
942d4f79ab6da48e55cc43660fbe0888,,,,,,,,,,,,,
5d95084e371b3b95f082aac9ecf80db1,**,,,,,,,,,,,,
61d1a23dc17dfa7ed4b837b043abf54d,.,,,,,,,,,,,,
d3c25a17251d966efda9c704331bde28,,,,,,,,,,,,,
3e419195da70fbb707bf9446d00d2b93,*,,,,,,,,,,,,
ac6639741476abec934aac289e8e7564,*,,,,,,,,,,,,
1917ecc6a185cc9f86b3d6edfa1045fa,.,,,,,,,,,,,,
f7135fcd9d3004d495364ce50e3ba0a2,,,,,,,,,,,,,
081f42427bf6cf3bb2471f4efec3520e,.,,,,,,,,,,,,
7898d61143c7a5628cdbfdd1754a6079,,,,,,,,,,,,,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,,,,,,,,,,,,,
bdafcd6a04c4a4b48d6ed4003175ba11,,,,,,,,,,,,,
dd7386872132054a57c15a92a42c1b0e,*,,,,,,,,,,,,
94a4cfe2e93c0e96a8c4a484650b6dfd,*,,,,,,,,,,,,
3df21f1a76bbc0b6441d81b9c20d5436,*,,,,,,,,,,,,
4f283e94aab2450ece1c0cdadcccdf8d,***,,,,,,,,,,,,
6bd60643c27bb01d3c586791409c405a,*,,,,,,,,,,,,
433ffe3e8472a48735636d27a91aa287,,,,,,,,,,,,,
b0475c2d42ad84a03f80d70d9abfc717,,,,,,,,,,,,,
395cf5f8cfe9f18126ca772f04bd9b66,,,,,,,,,,,,,
71cd8596df4c7dd9ad798c07c7800f87,***,,,,,,,,,,,,
a43d008f9f946bca0a7a5c804d664b0f,,,,,,,,,,,,,
ebd2450897a18d4158d92b6d6e950b26,.,,,,,,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,**,,,,,,,,,,,,
72fe0ee9b7d7514b96a0c6354c477740,***,,,,,,,,,,,,
66ea5d31c57c6bc8657f13ced8b9261f,***,,,,,,,,,,,,
c959f58c1b8be9807e157b0fa54f1a27,,,,,,,,,,,,,
334e1b08a0d169bc507c922d0ae22e75,***,,,,,,,,,,,,
6ed2cbded69eb8ff12800f4d189b88c1,,,,,,,,,,,,,
e714cf26ae84fcc0cad46d5bd7186a39,***,,,,,,,,,,,,
f66cfb35942df465eef4c123275766fc,.,,,,,,,,,,,,
c94a7d7e3f2dce0b4d4c4f6f849eb878,,,,,,,,,,,,,
6dafbe26918731e3bc8c294838099e98,.,,,,,,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,***,,,,,,,,,,,,
7685cb95fa77d91b70afb46485ac20a6,,,,,,,,,,,,,
487a17641df6be05e49d9e1ec726d2b5,,,,,,,,,,,,,
5511e72b743af21ea2dc91d537bb4dfb,.,,,,,,,,,,,,
832ea17f4c3cc9a97b06ee99684e1454,,,,,,,,,,,,,
e80b7ee7b8da33d2126ee5c1d716faa5,,,,,,,,,,,,,
910e041c32e22a8da7c7aaa0191c9ac4,,,,,,,,,,,,,
85feda73cf45ba235f7adafc232dff67,***,,,,,,,,,,,,
bbc60ed04bef5a4b294bec429e7c7ec3,**,,,,,,,,,,,,
066b695f2c9a7791eeb17079978e1129,.,,,,,,,,,,,,
7f4a6c0157bab8ed866a416170c32aea,,,,,,,,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,***,,,,,,,,,,,,
89e6981e4b0468d2581157ab59de130e,,,,,,,,,,,,,
8758879d625c1989b6a1f2ab09ea505f,***,,,,,,,,,,,,
f9b061101095df90f921f6cf337b34b6,,,,,,,,,,,,,
3aa25ee0ccf1764e818182eef9340b71,*,,,,,,,,,,,,
8dbddf131569936e06e1820a3d307e7e,,,,,,,,,,,,,
ce010c0260db672aa8e0a11f91c06d68,,,,,,,,,,,,,
d5169cd9970ac6c61bbfdd57fe9c89f1,,,,,,,,,,,,,
f29fd025ded5591fa45443c97a8c710a,*,,,,,,,,,,,,
d1099e14450efe720a6b5844b64c63b6,***,,,,,,,,,,,,
610a48e1e2e6635df613b88712801f10,.,,,,,,,,,,,,
5ca73d1ce0a4b8e42d36f3d0088dc937,,,,,,,,,,,,,
8aca4a6dbf73163d249df1b1a6d544b8,*,,,,,,,,,,,,
baa4ef1d1a13fc40f49ed5be9bae17f2,*,,,,,,,,,,,,
a3e4812b21dfb4d85852ff5dc5984d90,**,,,,,,,,,,,,
5e4f944bf86157726cb89b516d622ffd,***,,,,,,,,,,,,
20e9727d584ae9365eb8336c8e8475e2,,,,,,,,,,,,,
cf1d17620411b1db17bdf391848911d5,,,,,,,,,,,,,
9692070a8435f3da9d103743c63ce52d,,,,,,,,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,**,,,,,,,,,,,,
c7637722f3cdc682ed9f613e67e886fa,,,,,,,,,,,,,
e14d3ef27526af3bd88f42d83f3bdd6b,*,,,,,,,,,,,,
7989777e7b4a4a1a5e64e05489f0da27,,,,,,,,,,,,,
a7a147ba43fb5888f6b2452b85ca8569,,,,,,,,,,,,,
5706949b5f1a8ddea1d85d40559db204,,,,,,,,,,,,,
bde1bc5d378347f4858e3c03b4ddd5c7,***,,,,,,,,,,,,
1b926b7a41ac4a734571c261084ad062,,,,,,,,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,***,,,,,,,,,,,,
79f458b5176b6d4795e229c416de7a95,,,,,,,,,,,,,
c7f1fab952f2d359d3dbc6dd35bf3da2,,,,,,,,,,,,,
e0ebea8fc0446d4854b48dd95db67e21,,,,,,,,,,,,,
062daff76602f04235c2d39d58315162,***,,,,,,,,,,,,
e5837770ce17fb8c618b6009803d1be2,,,,,,,,,,,,,
4fdfa62fd97e871b7cc284a180983816,,,,,,,,,,,,,
e965315323c00eac43896c84313b6d2b,,,,,,,,,,,,,
02c9292683676d5a105454964336f5c5,,,,,,,,,,,,,
2db9c9272d03c08353ad07d1789f8901,,,,,,,,,,,,,
61e3a05af55019d8d29ea8ddbfee780d,.,,,,,,,,,,,,
01dcc5a0537b0887e3610980878207a4,*,,,,,,,,,,,,
5392c3fca1fb9f48913cc25f30ee1e3e,,,,,,,,,,,,,
,[,reached,'max',/,"getOption(""max.print"")",--,omitted,16391,rows,],,,
---,,,,,,,,,,,,,
Signif.,codes:,0,‘***’,0.001,‘**’,0.01,‘*’,0.05,‘.’,0.1,‘,’,1
Permutation:,free,,,,,,,,,,,,
Number,of,permutations:,999,,,,,,,,,,
Number of permutations: 999,,,,,,,,,,,,,
