Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
3df21f1a76bbc0b6441d81b9c20d5436,0.0016842,0.0020528,0.8204,0.003,0.002,0.7965,0.064,
dc8a27d3628bd0f7ea10d0f820db0d87,0.0015937,0.0011608,1.3729,0.006,0.005,0.79979,0.024,
a9207dfca445e406a42606624dde83e8,0.0015817,0.0067962,0.2327,0.000,0.003,0.80305,0.493,
6bd60643c27bb01d3c586791409c405a,0.0015245,0.0018514,0.8234,0.004,0.003,0.80619,0.265,
867652842eff53db521e70c458eebd5b,0.0015161,0.006296,0.2408,0.000,0.003,0.80931,0.756,
8dbddf131569936e06e1820a3d307e7e,0.0014484,0.0040809,0.3549,0.001,0.003,0.8123,0.458,
a43d008f9f946bca0a7a5c804d664b0f,0.0014005,0.0019328,0.7246,0.001,0.003,0.81519,0.081,
a41d252e01ef0557ecb28e486eadb2a2,0.0013949,0.0026711,0.5222,0.000,0.003,0.81806,0.017,
cf1d17620411b1db17bdf391848911d5,0.0013038,0.0027567,0.473,0.002,0.001,0.82075,0.358,
e6ef23848e7b8ab80ce4ec4280b50428,0.0012962,0.0045688,0.2837,0.000,0.002,0.82342,0.202,
5f427f21fc85bb3349b13f2a68434151,0.0012594,0.0048685,0.2587,0.000,0.002,0.82601,0.559,
f0de0c4f6019300451f40781e070bb24,0.0012492,0.0029217,0.4276,0.002,0.000,0.82859,0.239,
938e4a38a836791e865e35b7e909434d,0.0011923,0.001357,0.8786,0.002,0.001,0.83105,0.344,
85feda73cf45ba235f7adafc232dff67,0.001177,0.0008625,1.3647,0.005,0.004,0.83347,0.017,
16a4e1b789e86549d417f71b28e735d7,0.0011218,0.003671,0.3056,0.000,0.002,0.83578,0.017,
72fe0ee9b7d7514b96a0c6354c477740,0.0011096,0.000722,1.5369,0.004,0.002,0.83807,0.001,
3ce1a6014257a94a37b9654e002e7ac7,0.0010901,0.0007317,1.4898,0.004,0.003,0.84032,0.011,
71d02c5aa4d978c87190eca2004dce60,0.0010636,0.0018902,0.5627,0.002,0.001,0.84251,0.521,
79d854fe89f681bdba8de068e87f48bb,0.0010506,0.0024409,0.4304,0.000,0.002,0.84467,0.244,
336d367de8fd84bc93b4f8f23dc9dde2,0.0010222,0.0042224,0.2421,0.000,0.002,0.84678,0.212,
5dd02d0f89c239fd1e9b6abf2a561130,0.0010161,0.0007509,1.3531,0.004,0.003,0.84887,0.001,
