Contrast: CC_CM,,,,,,,
,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p
0b528d9b1872994f82a1e5cd29bb64b4,0.001083,0.0021173,0.5114,0.0022,0.0000,0.80901,0.659
56ad5c01bbab20d73205657137ebae82,0.001074,0.0018579,0.5783,0.0021,0.0000,0.81021,0.39
af854a82a30c3dc6aabf4786e02e1972,0.001069,0.002308,0.4631,0.0021,0.0000,0.8114,1
6e61c48adb077b7a9577be89eb7b1b2a,0.001067,0.0020501,0.5205,0.0021,0.0000,0.81259,0.821
,,,,,,,
a427f68686c4ea38d1a0ab9eb8bbd226,***,,,,,,
f407587d8d3cd8f9964b0e572b3b4b1a,,,,,,,
fa7c92df1f454a916defb614d7bfc201,***,,,,,,
74f8324925049e692ded7c8f8131a7de,*,,,,,,
819bbc9c4912a139af12b4a63169b11b,,,,,,,
9fa2dfda4205d2a9143fa7708f473785,***,,,,,,
cb493cf3102179d939b8a47f700a786f,*,,,,,,
5c2b47983d92cc3cc09bc005906b2212,*,,,,,,
460704bd2880b6e0c87caa2070b20097,*,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,*,,,,,,
56f7d0774a4d913fb9a6f90d13556a07,***,,,,,,
3ab7557febe64e685333aad58b7e3736,***,,,,,,
762f6d6923ed6173e9b63a54c7352e25,,,,,,,
6e22ee84b5b41d0926b5fbe90ba04d74,,,,,,,
c2d42d7943ed2272172e9fb912207aa6,***,,,,,,
c973431275d5739f32dd3ebed1394384,***,,,,,,
e65fd9bdecd6971a6df6257338244e89,*,,,,,,
0489a2c4ad6c23094e2775bc5768e11a,,,,,,,
0c73fd6df065639e44ba7c2bb2450e75,,,,,,,
e36bdf6700966998f0c6929b13db80ab,*,,,,,,
e2b9188899686397a7f4ea6ba61e8b36,,,,,,,
4a89c1f6bac785b62ff8f6105e4b148a,***,,,,,,
476278b1928d77971d992a3bc16f2287,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,*,,,,,,
9fbf47232e3885758183b684feb5dab5,,,,,,,
c3e2558640eb1dd3b3ba6d8ac2b889d7,***,,,,,,
8c536d82bebcc5fbda2a3288c2707262,,,,,,,
f6334d26ed150d46dab2e4dbb7dcde62,*,,,,,,
0c67b2090850ba9d58995f39c64d815d,**,,,,,,
6f82ee8dbad36eba987bbb3246cbd761,***,,,,,,
5d72d5e808490cf5440704d0c835deed,***,,,,,,
b95192f739d4edba244aa50a65ad657d,*,,,,,,
f427cc77a3175ac760d5b1556b65ba17,*,,,,,,
2207f640b549a0adc8ebbe87923716a4,,,,,,,
f030c94fb82f33f4c9e4fbc126d0e92f,***,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,*,,,,,,
1efaffa2294e78c5de13126a78c415a6,,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,*,,,,,,
305fad7794af19b61bd043d53cde28ec,*,,,,,,
c2556d10d86d2961efe7110b18d380c7,*,,,,,,
936bca28075211d4feb2c1f3a7e35b02,,,,,,,
543d7a42d4b9fea815542d609fab0f0b,,,,,,,
99d6d3ba86790b0bd16aedfea9bb94a4,,,,,,,
a0865ea5b2a1bdc38ec2cb743024b9f8,,,,,,,
ca4ffcf0af147de181a46b22f59fb1ab,,,,,,,
1595b14f81b99e9b8566e27e368043c0,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,*,,,,,,
98d7c23154869a30b152984bc57c4300,,,,,,,
a8435d1618b07ecee76f76e08b9980e7,**,,,,,,
b8b407152de97b7856915e4d2d8c9c68,,,,,,,
8f333c2ca048a5b10ef40cd14fc80032,,,,,,,
8a3a204a0f1d2b4da6523fd9cb146ac7,,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,***,,,,,,
2de60014913252c7d8d2830ed15c9b9d,***,,,,,,
caee5691a4dbe612256a1fc03dcf708e,,,,,,,
1bbdfc8ae3af4a7658e0a4fea3254348,**,,,,,,
f301e052b62fe5d864df32769338f255,,,,,,,
42ceed595d0c020f440dc19627f3ade2,***,,,,,,
e1021c1298e2b2ad1b082f1e6207fe43,,,,,,,
531d650ecb3fd7e2f6fc8379ef51707a,,,,,,,
7df7475273ac2a79f8e733603742cde7,,,,,,,
cfe732db12ae9866a270556595ebe36c,**,,,,,,
68b479e395e243786491bdd38a10dfa2,,,,,,,
35ba0ce07309312135a5e61c896e5c8a,*,,,,,,
db199b887c3ff5e9d4eb835d6f327c92,,,,,,,
7e5e1b57435d8c971de251299b61ad2b,,,,,,,
5a5cd60c401650043551c33f344c8522,*,,,,,,
9b16b4c1436189ffe925e4ff233a486b,***,,,,,,
3c4d1a8afcea355f06fa51248086a99f,,,,,,,
7da5efa0b0570884fde640a758516f09,,,,,,,
79dce9d4c25f94ac010808d76be6be26,,,,,,,
bcd25b1bda3c580bdc6055d750d4c1db,,,,,,,
a18a3aae2c9c8f5dc7531be32de45216,**,,,,,,
23867a7b49996a7c044727dd8a69b6fa,,,,,,,
6f7faaed7bde192c4033da463fe3432b,,,,,,,
7898d61143c7a5628cdbfdd1754a6079,,,,,,,
f2026b837338f6b2dfcada80d324a084,,,,,,,
67c95815713c23f995230e0604d429af,,,,,,,
dad39314e553edccd7534b8ae07b2361,,,,,,,
2036186271f8ba42baee03a9bee36dc1,,,,,,,
08820f5810b56d9bea8ff99747ab22f8,,,,,,,
6177eab3462de664fd4693bba5ffc1e4,,,,,,,
eb267f9ffafdc33eea4aca364058347b,,,,,,,
83b46ffa32515c039e8239a285671fea,,,,,,,
9f1ce6a8f4782764f4c1d518d74d1de9,.,,,,,,
00401a5c547242438f659a5c92a8033d,,,,,,,
6f766d549d69dc9bc19ad7b465843b16,,,,,,,
e64e0eec9581396de64d5cef915e0ce2,,,,,,,
3c26e4431b80e5d9c91a914d3cdc7fb7,,,,,,,
ce131efaaeaa39517b02c43cb06d6190,***,,,,,,
d982be5d88057c9d9a2c7eb4351f8725,**,,,,,,
0f9ee7230f18aa187228fc9ede4ad5d9,,,,,,,
c27b865190b4d2ac1bb1b9eb84488472,***,,,,,,
d50411bafa963252e05092494dad0437,***,,,,,,
7c86dd90e06b4f18b0f6355be411896f,,,,,,,
c32ae2bd5c495edc188593b40dfeeae6,.,,,,,,
0e580d5d7c51219165e3ecedcc3a9c6e,,,,,,,
6e71cd1e15708e423bec585dfab8c6b3,,,,,,,
4e32716b16ef4d3893c19a5cfb0f286f,,,,,,,
47fcb76ca29a08c811d0eed7adffe7f0,,,,,,,
50c7368036a3e5da30d70f9c3d432e7a,,,,,,,
b603fef0f729189f188d9f297f7ab202,,,,,,,
85feda73cf45ba235f7adafc232dff67,*,,,,,,
97b4d0784fc1d8b54f9dc4f29a1b79d6,,,,,,,
0a6a5105f576c7b433af5d248647a162,,,,,,,
d6184a27152f6ec4d44748ca0181366f,,,,,,,
fca36336023f2f0c3b4192c71825a797,,,,,,,
dc8a27d3628bd0f7ea10d0f820db0d87,*,,,,,,
e5d6f44033a9177d545940441f9272bf,***,,,,,,
453a04affb33d510945c9bdda02c073f,,,,,,,
898bab711230a86b7f8cf3dd1da19505,,,,,,,
fac6e2fac1e7dc5510941e49a21c4fff,,,,,,,
2896e7bceef1f42bdeca2f1b75ae735e,,,,,,,
e43150e35d232c1df0ec08b8206af768,,,,,,,
3ce1a6014257a94a37b9654e002e7ac7,*,,,,,,
a38dd2887e1ae66b244a970b5e170368,,,,,,,
dc6f13cbda4815b7a99ac85df96d074b,,,,,,,
f97a21352b79bbe7038f33647319ea02,,,,,,,
b89e6a8b436b95cdfbae2ee68f6bb7d5,,,,,,,
991a2f1f8076c66f7a4add992886b31d,,,,,,,
4c4f133e4eff4e55cbb7b1484a72f683,,,,,,,
0b528d9b1872994f82a1e5cd29bb64b4,,,,,,,
56ad5c01bbab20d73205657137ebae82,,,,,,,
af854a82a30c3dc6aabf4786e02e1972,,,,,,,
6e61c48adb077b7a9577be89eb7b1b2a,,,,,,,
"[ reached 'max' / getOption(""ma","x.print"")",#NAME?,d 16391,rows ],,,
---,,,,,,,
Signif. codes:  0 æ***Æ 0.001 æ*,*Æ 0.01 æ,*Æ 0.05 æ.,Æ 0.1 æ,Æ 1,,,
Permutation: free,,,,,,,
Number of permutations: 999,,,,,,,
Number of permutations: 999,,,,,,,
