Contrast:,CC_CM,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
062daff76602f04235c2d39d58315162,0.001079,0.0006901,1.5636,0.001,0.002,0.88474,0.001,***,,,,,
ca9895ffec4072e8a8056f95071a6ae0,0.0010719,0.001279,0.838,0.001,0.002,0.88604,0.167,,,,,,
89e6981e4b0468d2581157ab59de130e,0.0010686,0.0064793,0.1649,0.002,0,0.88734,0.631,,,,,,
7f4a6c0157bab8ed866a416170c32aea,0.0010629,0.0079396,0.1339,0.002,0,0.88863,1,,,,,,
06df666ee210020e2bb0dd5c0d82a206,0.0010393,0.0057769,0.1799,0.002,0,0.88989,0.536,,,,,,
72fe0ee9b7d7514b96a0c6354c477740,0.0010377,0.0013113,0.7914,0.002,0.002,0.89115,0.33,,,,,,
2db9c9272d03c08353ad07d1789f8901,0.0010198,0.0043019,0.2371,0.002,0,0.89239,0.755,,,,,,
7989777e7b4a4a1a5e64e05489f0da27,0.0009834,0.0026403,0.3725,0.002,0,0.89359,0.983,,,,,,
d24ee54b00141716673192d175ce8468,0.000981,0.0033394,0.2938,0.002,0,0.89478,0.771,,,,,,
d1f0127aea231d51e8b758009c917a61,0.0009724,0.002792,0.3483,0.001,0.001,0.89596,0.614,,,,,,
d5169cd9970ac6c61bbfdd57fe9c89f1,0.0009701,0.0062205,0.156,0.002,0,0.89714,1,,,,,,
2aa85055ca53e68be32996467ff0414a,0.0009683,0.0069765,0.1388,0.002,0,0.89831,0.511,,,,,,
79d854fe89f681bdba8de068e87f48bb,0.0009631,0.002496,0.3859,0,0.002,0.89948,0.002,**,,,,,
71cd8596df4c7dd9ad798c07c7800f87,0.0009494,0.0030917,0.3071,0.002,0.001,0.90063,1,,,,,,
e314931f1c7cad13aec2759b85ee4273,0.0009478,0.0032232,0.2941,0.001,0.001,0.90179,0.353,,,,,,
f9b061101095df90f921f6cf337b34b6,0.0009287,0.005871,0.1582,0.002,0,0.90291,1,,,,,,
,,,,,,,,,,,,,
Signif.,codes:,0,‘***’,0.001,‘**’,0.01,‘*’,0.05,‘.’,0.1,‘,’,1
Permutation:,free,,,,,,,,,,,,
Number,of,permutations:,999,,,,,,,,,,
