Contrast: Hatched Egg_Unhatched Egg,,,,,,,,,,,,,
,,,,,,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,,,,,,
61e3a05af55019d8d29ea8ddbfee780d,0.0016628,0.0030647,0.5426,0.002,0.002,0.86209,0.598,,,,,,
f20e7aef6c8f361d01055cd28c4b947e,0.0015549,0.0072563,0.2143,0.000,0.003,0.86384,0.175,,,,,,
016a38c286f8bd0508e89e6f23300f08,0.0015483,0.0035927,0.4309,0.003,0.000,0.86558,0.532,,,,,,
8758879d625c1989b6a1f2ab09ea505f,0.0015042,0.0029589,0.5084,0.003,0.000,0.86728,0.145,,,,,,
942d4f79ab6da48e55cc43660fbe0888,0.0014916,0.0055258,0.2699,0.003,0.000,0.86896,0.894,,,,,,
a7a147ba43fb5888f6b2452b85ca8569,0.0014784,0.0014245,1.0378,0.003,0.002,0.87062,0.614,,,,,,
305fad7794af19b61bd043d53cde28ec,0.0014664,0.003441,0.4261,0.002,0.001,0.87227,0.424,,,,,,
61d1a23dc17dfa7ed4b837b043abf54d,0.0014333,0.0047852,0.2995,0.003,0.000,0.87388,0.88,,,,,,
ab7d7e099c66897d370e6497b7fb908c,0.0014251,0.0061745,0.2308,0.003,0.000,0.87549,0.919,,,,,,
e2f013c43b62b3b3b617043ac278654c,0.001379,0.003918,0.352,0.003,0.000,0.87704,0.86,,,,,,
5dd02d0f89c239fd1e9b6abf2a561130,0.0013638,0.0011443,1.1918,0.003,0.000,0.87857,0.003,,,,,,
288f1ad728f173c18a3dd1760fd34178,0.0013148,0.0027308,0.4815,0.003,0.000,0.88005,0.552,,,,,,
24abd7240af447afa0b54d7160d911b5,0.0012924,0.0046001,0.281,0.000,0.003,0.88151,0.077,,,,,,
b1cff4530233b484b21ca6db52c5d257,0.0012732,0.0018996,0.6703,0.001,0.002,0.88294,0.055,,,,,,
f29fd025ded5591fa45443c97a8c710a,0.0012716,0.0025919,0.4906,0.001,0.002,0.88437,0.14,,,,,,
d1bf9c378fd51fc97553c2ef96454fa0,0.0012525,0.003605,0.3474,0.002,0.001,0.88578,0.757,,,,,,
5e4f944bf86157726cb89b516d622ffd,0.0012509,0.0011629,1.0756,0.003,0.000,0.88719,0.002,,,,,,
98bef8abbe840e2d979b75ea7633b0e8,0.0012379,0.0026052,0.4752,0.000,0.002,0.88858,0.015,,,,,,
700f7ae7cd3b3c89de9523dc050adf74,0.0011413,0.0021128,0.5402,0.002,0.000,0.88987,0.771,,,,,,
c59eb2f234eb64bf2151aa2ce2940b76,0.0011348,0.0044922,0.2526,0.002,0.000,0.89114,1,,,,,,
6cc87325b7815ff69cb113006fa5dfd5,0.0010406,0.0029443,0.3534,0.002,0.000,0.89231,0.872,,,,,,
35ba0ce07309312135a5e61c896e5c8a,0.0010208,0.0019996,0.5105,0.002,0.001,0.89346,0.691,,,,,,
01dcc5a0537b0887e3610980878207a4,0.0010123,0.0021614,0.4683,0.000,0.002,0.8946,0.001,,,,,,
672337ca53157b1bbc61b2a42b7c72f2,0.0009729,0.0025952,0.3749,0.001,0.002,0.8957,0.215,,,,,,
015273a5f891c445c03729d5524fd3a1,0.0009683,0.0038646,0.2506,0.000,0.002,0.89679,0.185,,,,,,
2db9c9272d03c08353ad07d1789f8901,0.0009656,0.0034136,0.2829,0.000,0.002,0.89787,0.017,,,,,,
3d941b5eca71d65013eac7774ae32654,0.0009424,0.0029469,0.3198,0.002,0.000,0.89893,1,,,,,,
062daff76602f04235c2d39d58315162,0.0009387,0.0007202,1.3035,0.002,0.000,0.89999,0.001,,,,,,
7d96cef884086160e9fe266b8f267019,0.0009379,0.0011004,0.8523,0.002,0.000,0.90104,0.024,,,,,,
8320c5e679d852bdef544be572042681,0.0009181,0.0018802,0.4883,0.001,0.001,0.90208,0.716,,,,,,
ca9895ffec4072e8a8056f95071a6ae0,0.0009113,0.0019053,0.4783,0.002,0.000,0.9031,0.475,,,,,,
b7bbd7b29146ecc671451040248ca3d3,0.0009005,0.0011666,0.7719,0.001,0.001,0.90412,0.677,,,,,,
2da70b067d7a320d72917907794bec11,0.0008933,0.0015666,0.5702,0.002,0.001,0.90512,0.468,,,,,,
,,,,,,,,,,,,,
de64bf9fc57519eb73e7ede2e89fbc08,***,,,,,,,,,,,,
6cbb4ad4bea065572ee15c90299997ed,,,,,,,,,,,,,
72b5e7b223e0904d6dd5bfea86bdae1c,***,,,,,,,,,,,,
6731bc05c8ba7ada6bf032d14af05613,***,,,,,,,,,,,,
bbc60ed04bef5a4b294bec429e7c7ec3,.,,,,,,,,,,,,
91d688c973fa105eac82ae34536569bc,*,,,,,,,,,,,,
c2556d10d86d2961efe7110b18d380c7,***,,,,,,,,,,,,
5c2b47983d92cc3cc09bc005906b2212,**,,,,,,,,,,,,
adbb1498f1dcfeed13db8c9f228f5eb4,,,,,,,,,,,,,
2ae0f52560c00c969f820ae6b6fb115f,*,,,,,,,,,,,,
522fccaf4e20abef717533bd224bd68d,*,,,,,,,,,,,,
e6e36c7acbdc33af814292da08b44b99,,,,,,,,,,,,,
71d02c5aa4d978c87190eca2004dce60,,,,,,,,,,,,,
f68daaca652da726aaabf841a3a3a4ba,,,,,,,,,,,,,
5d95084e371b3b95f082aac9ecf80db1,*,,,,,,,,,,,,
f2d7b7ec22817e0585e8d3f87e4f6f6e,,,,,,,,,,,,,
5c1a02107d6f21edc9e94690ac5a721c,,,,,,,,,,,,,
a50e46127e32d57c3f21c21f1d4a7297,,,,,,,,,,,,,
fe81b53d077a7fa4f3813377bd51caf4,***,,,,,,,,,,,,
2d9c0927c41fe00977c4cc751b5c52b4,,,,,,,,,,,,,
cb493cf3102179d939b8a47f700a786f,,,,,,,,,,,,,
5a5cd60c401650043551c33f344c8522,**,,,,,,,,,,,,
460704bd2880b6e0c87caa2070b20097,.,,,,,,,,,,,,
74f8324925049e692ded7c8f8131a7de,,,,,,,,,,,,,
02c9292683676d5a105454964336f5c5,,,,,,,,,,,,,
