Contrast: Hatched Egg_Unhatched Egg,,,,,,,,
,,,,,,,,
,average,sd,ratio,ava,avb,cumsum,p,
2e6b346f121a96cb91ce439380bbeafc,0.0034327,0.0212458,0.1616,0.000,0.007,0.73478,0.012,
d1bf9c378fd51fc97553c2ef96454fa0,0.0034318,0.0043462,0.7896,0.006,0.002,0.7388,0.103,
d3c25a17251d966efda9c704331bde28,0.003315,0.0176319,0.188,0.002,0.005,0.74267,0.414,
7898d61143c7a5628cdbfdd1754a6079,0.0032936,0.0136091,0.242,0.000,0.007,0.74653,0.023,
942d4f79ab6da48e55cc43660fbe0888,0.003196,0.0127764,0.2502,0.003,0.003,0.75027,0.503,
6bd60643c27bb01d3c586791409c405a,0.0031217,0.0080063,0.3899,0.004,0.003,0.75392,0.251,
1917ecc6a185cc9f86b3d6edfa1045fa,0.0031119,0.0045915,0.6778,0.004,0.004,0.75757,0.072,
b0475c2d42ad84a03f80d70d9abfc717,0.0031021,0.0070069,0.4427,0.004,0.003,0.7612,0.409,
5511e72b743af21ea2dc91d537bb4dfb,0.0030047,0.0128405,0.234,0.002,0.004,0.76471,0.416,
61d1a23dc17dfa7ed4b837b043abf54d,0.0029033,0.010323,0.2812,0.006,0.000,0.76811,0.701,
72fe0ee9b7d7514b96a0c6354c477740,0.0028681,0.0028834,0.9947,0.006,0.002,0.77147,0.001,
d3dc1bb6adf5f414ef01e2f6a97ae0cc,0.0028636,0.0121381,0.2359,0.000,0.006,0.77482,0.006,
433ffe3e8472a48735636d27a91aa287,0.0026839,0.0069215,0.3878,0.004,0.001,0.77796,0.895,
336d367de8fd84bc93b4f8f23dc9dde2,0.0025982,0.0099261,0.2618,0.001,0.005,0.781,0.045,
334e1b08a0d169bc507c922d0ae22e75,0.0025725,0.0022407,1.1481,0.006,0.001,0.78401,0.001,
610a48e1e2e6635df613b88712801f10,0.0025688,0.0086025,0.2986,0.000,0.005,0.78702,0.004,
bdafcd6a04c4a4b48d6ed4003175ba11,0.0025666,0.0076677,0.3347,0.004,0.001,0.79002,0.842,
57b76aadd6cd9eb434c84c4f8ea4265f,0.0025373,0.0097174,0.2611,0.005,0.000,0.79299,0.986,
5ca73d1ce0a4b8e42d36f3d0088dc937,0.002503,0.0074499,0.336,0.000,0.005,0.79592,0.009,
b89294ba58e3a73fc19e560bc01665bd,0.0024339,0.0072391,0.3362,0.005,0.001,0.79877,0.777,
4f283e94aab2450ece1c0cdadcccdf8d,0.0022164,0.0121395,0.1826,0.000,0.004,0.80137,0.002,
